waypoint1	waypoint2	distance_m	duration_s
Bygdoeynesveien 39, Oslo	Gronnegata 11, Oslo	5945	4548
Kjelsaasveien 143, Oslo	Nobels gate 32, Oslo	7277	5845
Fridtjof Nansens plass, Oslo	Bygdoeynesveien 39, Oslo	5997	4543
Astrup Fearnley Museet, Oslo	Bygdoeynesveien 39, Oslo	7032	5294
Kirsten Flagstads Pl. 1, Oslo	Det Kongelige Slott, Oslo	2056	1490
Bygdoeynesveien 39, Oslo	Kirsten Flagstads Pl. 1, Oslo	7298	5516
Nobels gate 32, Oslo	Sognsveien 235, Oslo	6048	4962
Fridtjof Nansens plass, Oslo	Gronnegata 11, Oslo	1359	1122
Kjelsaasveien 143, Oslo	Sognsveien 235, Oslo	3961	2933
Kjelsaasveien 143, Oslo	Det Kongelige Slott, Oslo	7164	5763
Astrup Fearnley Museet, Oslo	Fridtjof Nansens plass, Oslo	1241	922
Fridtjof Nansens plass, Oslo	Nobels gate 32, Oslo	2570	1910
Nobels gate 32, Oslo	Kirsten Flagstads Pl. 1, Oslo	3872	2867
Astrup Fearnley Museet, Oslo	Myntgata 5, Oslo	1257	945
Toeyengata 53, Oslo	Det Kongelige Slott, Oslo	3014	2268
Fridtjof Nansens plass, Oslo	Det Kongelige Slott, Oslo	832	586
Astrup Fearnley Museet, Oslo	Kjelsaasveien 143, Oslo	6519	5397
Nobels gate 32, Oslo	Toeyengata 53, Oslo	4973	3733
Bygdoeynesveien 39, Oslo	Det Kongelige Slott, Oslo	5529	4113
Astrup Fearnley Museet, Oslo	Toeyengata 53, Oslo	1423	1011
Sognsveien 235, Oslo	Myntgata 5, Oslo	7600	5347
Det Kongelige Slott, Oslo	Myntgata 5, Oslo	1465	1058
Nobels gate 32, Oslo	Bygdoeynesveien 39, Oslo	4093	3020
Toeyengata 53, Oslo	Bygdoeynesveien 39, Oslo	8398	6264
Nobels gate 32, Oslo	Myntgata 5, Oslo	2897	2156
Fridtjof Nansens plass, Oslo	Sognsveien 235, Oslo	7001	4896
Kjelsaasveien 143, Oslo	Myntgata 5, Oslo	7581	6109
Kjelsaasveien 143, Oslo	Kirsten Flagstads Pl. 1, Oslo	7244	5291
Astrup Fearnley Museet, Oslo	Kirsten Flagstads Pl. 1, Oslo	1087	828
Astrup Fearnley Museet, Oslo	Gronnegata 11, Oslo	2062	1662
Kirsten Flagstads Pl. 1, Oslo	Gronnegata 11, Oslo	2583	2049
Fridtjof Nansens plass, Oslo	Kirsten Flagstads Pl. 1, Oslo	1498	1111
Astrup Fearnley Museet, Oslo	Sognsveien 235, Oslo	6831	4827
Kjelsaasveien 143, Oslo	Gronnegata 11, Oslo	6811	4980
Toeyengata 53, Oslo	Myntgata 5, Oslo	2622	1915
Fridtjof Nansens plass, Oslo	Kjelsaasveien 143, Oslo	7326	5961
Toeyengata 53, Oslo	Gronnegata 11, Oslo	3293	2573
Sognsveien 235, Oslo	Kirsten Flagstads Pl. 1, Oslo	7752	5569
Kirsten Flagstads Pl. 1, Oslo	Myntgata 5, Oslo	1193	880
Sognsveien 235, Oslo	Bygdoeynesveien 39, Oslo	9974	7084
Bygdoeynesveien 39, Oslo	Myntgata 5, Oslo	6323	4770
Fridtjof Nansens plass, Oslo	Toeyengata 53, Oslo	2607	1892
Astrup Fearnley Museet, Oslo	Nobels gate 32, Oslo	3607	2646
Nobels gate 32, Oslo	Gronnegata 11, Oslo	2118	1623
Myntgata 5, Oslo	Gronnegata 11, Oslo	1953	1543
Kjelsaasveien 143, Oslo	Bygdoeynesveien 39, Oslo	11346	8283
Det Kongelige Slott, Oslo	Gronnegata 11, Oslo	673	522
Astrup Fearnley Museet, Oslo	Det Kongelige Slott, Oslo	1648	1182
Nobels gate 32, Oslo	Det Kongelige Slott, Oslo	2033	1542
Kjelsaasveien 143, Oslo	Toeyengata 53, Oslo	5916	4846
Fridtjof Nansens plass, Oslo	Myntgata 5, Oslo	583	421
Toeyengata 53, Oslo	Kirsten Flagstads Pl. 1, Oslo	1678	1221
Sognsveien 235, Oslo	Gronnegata 11, Oslo	6103	4302
Sognsveien 235, Oslo	Det Kongelige Slott, Oslo	6434	4540
Toeyengata 53, Oslo	Sognsveien 235, Oslo	7137	5084